
Title;Artist;Album;Year;Genre;Comment;ISRC;Language;AudioLength;FileSize;Crc;FileCreateDate;LastModified;RelativePath;Filename;Extension;Directory;ParentDirectory;Keywords;Mood;Usage;Story;Song;ModeStereo;BPM;Codec;Bitrate;Samplerate;VBR;TagType;CoverDescription;CoverSize;CoverType;CoverMime;CoverHeight;CoverWidth;Lyrics;SrcFix;PlayCounter;Note

A Future Bright And Clear;Hylst using AI;Synthwave;2025;synthwave;;;;163;3,76 MB;48780BA0;29/04/2025;10/03/2025;;a_future_bright_and_clear.mp3;mp3;Selec AI;musique;synthwave,analog arpeggios,vibrant synth pads,punchy kick,digital delay,retro-futuristic,98bpm;chill;upbeat;;1;Joint Stereo;;MPEG 1 Layer III;192;48000;CBR;ID3v1 ID3v2.3;;30361;Front Cover;image/jpeg;512;512;eng||[intro]##no matter how they feel##this vibrant spark's my only deal, for real##oh tell me how i broke these chains##suddenly i'm feeling free again##[verse 1]##cruising down this neon lane##leaving all my doubts far behind, oh i’ll find##a future bright and clear, you'll see##with every glow, i'm feeling brand new##got my heart set on a dream tonight, oh, because##i wanna chase my own sunrise##[chorus]##no matter how they feel##this vibrant spark's my only deal, for real##oh tell me how i broke these chains##suddenly i'm feeling free again##[verse 2]##thought i lost my spark##in the shadows where i used to hide##but now i shine like the stars in the night##with every beat, i’m feeling more alive##oh, my joy can't be contained##these rhythms start to elevate my mind##[chorus]##no matter how they feel##this vibrant spark's my only deal, for real##oh tell me how i broke these chains##suddenly i'm feeling free again##[bridge]##lost in the echo of the sound##finding strength where hope is found##living life like i’m on a ride##i’ll embrace this vibrant tide##[chorus]##no matter how they feel##this vibrant spark's my only deal, for real##oh tell me how i broke these chains##suddenly i'm feeling free again##[outro]##so let the music take me there##where dreams come alive, i’ll breathe that air##dancing through the colors of the night##this vibrant spark is my guiding light;ued;,160

A Swirling Dream;Hylst using AI;Psytrance;2025;psytrance,chill;;;;131;3,03 MB;A3D0A3D7;29/04/2025;10/03/2025;;a_swirling_dream.mp3;mp3;Selec AI;musique;psytrance,driving bass,swirling synth pads,glitter effects,deep reverb,energetic,psychedelic,140bpm,female vocalist,electronic,chillout,psychedelic,rhythmic,hypnotic,atmospheric,sampling,futuristic,repetitive,ethereal;relax;dance;;1;Joint Stereo;;MPEG 1 Layer III;192;48000;CBR;ID3v1 ID3v2.3;;39779;Front Cover;image/jpeg;512;512;eng||[verse 1]##you step inside##a swirling dream##with lights that pulse##the beat is high##in colors bright##you lose your mind####[chorus]##feel the rhythm##take it slow##in the moment##let it flow####[verse 2]##the bassline thumps##like a heartbeat##in electric waves##you drift away##through echoes deep##in sonic fields####[chorus]##feel the rhythm##take it slow##in the moment##let it flow####[bridge]##close your eyes##let it go##floating free##in the glow####[chorus]##feel the rhythm##take it slow##in the moment##let it flow;uc4;,180

Acoustic Reverie;Hylst using AI;Acoustic;2025;gentle acoustic folk;;;;164;5,03 MB;7468A58A;29/04/2025;22/04/2025;;acoustic_reverie.mp3;mp3;Selec AI;musique;acoustic ambient,95 bpm,soft flute,gentle percussion,subtle strings,evokes historical depth and tension,immersive and reflective;serene;ambient,relax,dream;;0;Stereo;95;MPEG 1 Layer III;256;44100;CBR;ID3v1 ID3v2.3;;35839;Front Cover;image/jpeg;512;512;;us2 rem;,220

Ambient Danceful Fusion;Hylst using AI;Psychedelic Trance;2025;trance,psychedelic,tribal,electro;;;;196;6,02 MB;9C2A4A43;29/04/2025;22/04/2025;;ambient_danceful_fusion.mp3;mp3;Selec AI;musique;trance,psychedelic,tribal,futuristic pop,125bpm,electronic beats,sharp synth,ambient bass,drum machine,upbeat rhythm,minor scale,quirky,energetic,vocal;crazy,cool,playful;dance,trip;;0;Stereo;;MPEG 1 Layer III;256;44100;CBR;ID3v1 ID3v2.3;;37023;Front Cover;image/jpeg;512;512;;ued rem;,220

Ancient Dragon’s Lament;Hylst using AI;Heroic Fantasy RPG ambient;2025;mythic orchestral,classical,ambient;;;;238;7,29 MB;668408E5;29/04/2025;22/04/2025;;ancient_dragon_s_lament.mp3;mp3;Selec AI;musique;mythic orchestral,ancient dragon’s lament,75 bpm,low strings,choir swells,taiko ensemble,e minor chord progression,4/4,deep reverb,epic,foreboding;cinematic ambient;rpg;;0;Stereo;;MPEG 1 Layer III;256;44100;CBR;ID3v1 ID3v2.3;;31783;Front Cover;image/jpeg;512;512;;ued rem;,220

Arabic Pleasure;Hylst using AI;Arabic;2025;arabic,folk;;;;196;4,53 MB;2011335E;29/04/2025;15/03/2025;;arabic_pleasure.mp3;mp3;Selec AI;musique;arabic fusion,100 bpm,sitar,tabla,electronic beats,ambient synths,exotic soundscapes,major scale,major scale,ambient,arabic,instrumental,nocturnal,improvisation,warm,vocal,meditative,acoustic,complex,hypnotic;arabic,trip;azul,lounge,create;;0;Joint Stereo;100;MPEG 1 Layer III;192;48000;CBR;ID3v1 ID3v2.3;;44612;Front Cover;image/jpeg;512;512;;ued;,160

Ascend To Glory;Hylst using AI;Epic;2025;classical epic cinematic;;;;157;3,64 MB;DE49F1FB;29/04/2025;06/03/2025;;ascend_to_glory.mp3;mp3;Selec AI;musique;fantasy epic,85 bpm,brass,strings,bold percussion,major scale,grandiose,uplifting;;;;1;Joint Stereo;;MPEG 1 Layer III;192;48000;CBR;ID3v1 ID3v2.3;;46132;Front Cover;image/jpeg;512;512;;uc7;,200

Ascendancy;Hylst using AI;Aventurous;2025;epic cinematic;;;;196;6,01 MB;ECFDBADB;29/04/2025;23/04/2025;;ascendancy.mp3;mp3;Selec AI;musique;epic cinematic,90 bpm,choir,taiko drums,soaring strings,major scale,grand,majestic;aventurous;gaming,reading,drawing;;0;Stereo;;MPEG 1 Layer III;256;44100;CBR;ID3v1 ID3v2.3;;31514;Front Cover;image/jpeg;512;512;;ued;,200

Atmospheric Spiritual Trip;Hylst using AI;Trippy;2025;trippy ambient;;;;224;6,89 MB;C0270485;29/04/2025;22/04/2025;;atmospheric_spiritual_trip.mp3;mp3;Selec AI;musique;trippy ambient,futuristic sounds,70 bpm,vocal pads,deep drones,light chimes,d minor chord progression,4/4,wet reverb,ethereal,philosophical;zen,trippy;psyche,trip,dream;;0;Stereo;70;MPEG 1 Layer III;256;44100;CBR;ID3v1 ID3v2.3;;40267;Front Cover;image/jpeg;512;512;;ued rem;,200

